id,project,test_name,fold1_pred,fold1_conf,fold2_pred,fold2_conf,fold3_pred,fold3_conf,fold4_pred,fold4_conf,n_folds_predicting_flaky,majority_category,avg_confidence
8,activiti-activiti,testDelayedSuspendMultipleProcessDefinitionsByKey,Time,0.740991592,Time,0.932959437,Time,0.44937399,Time,0.851871431,4,Time,0.744
9,activiti-activiti,testBasicJobExecutorOperation,Async Wait,0.912134767,Concurrency,0.462468654,Async Wait,0.409229696,Time,0.820439339,4,Async Wait,0.651
11,activiti-activiti,testCycleDateStartTimerEvent,Async Wait,0.833056808,Time,0.930231392,Time,0.327134311,Time,0.862036824,4,Time,0.738
13,activiti-activiti,testCycleDateStartTimerEvent,Async Wait,0.815559626,Time,0.930419385,Time,0.316905618,Time,0.861352623,4,Time,0.731
32,activiti-activiti,testHistoricVariableQueryByTaskIds,Async Wait,0.622325897,Unordered Collections,0.942893565,Unordered Collections,0.5244084,Unordered Collections,0.94626832,4,Unordered Collections,0.759
113,Alluxio-alluxio,rawtablePerfTest,Time,0.302580953,Not Flaky,0.940951705,Not Flaky,0.918323815,Not Flaky,0.878860295,1,Not Flaky,0.76
199,apache-hbase,testDeleteTable,Async Wait,0.69535774,Order Dependent,0.939216852,Order Dependent,0.628562689,Order Dependent,0.950252533,4,Order Dependent,0.803
200,apache-hbase,testCreateTable,Async Wait,0.726650357,Order Dependent,0.963802218,Order Dependent,0.746860147,Order Dependent,0.951037467,4,Order Dependent,0.847
201,apache-hbase,testGetClusterStatusXML,Order Dependent,0.557851791,Order Dependent,0.759262741,Order Dependent,0.658792496,Order Dependent,0.942140937,4,Order Dependent,0.73
202,apache-hbase,testGetClusterStatusPB,Order Dependent,0.780842006,Order Dependent,0.967035234,Order Dependent,0.891928971,Order Dependent,0.946576238,4,Order Dependent,0.897
203,apache-hbase,testDFSMiniCluster,Order Dependent,0.90623343,Order Dependent,0.657053828,Order Dependent,0.805379868,Order Dependent,0.925083101,4,Order Dependent,0.823
204,apache-hbase,testZooKeeperMiniCluster,Order Dependent,0.939230025,Not Flaky,0.92731905,Order Dependent,0.747329473,Order Dependent,0.925399363,3,Order Dependent,0.885
205,apache-hbase,testHBaseMiniCluster,Order Dependent,0.938791096,Not Flaky,0.483025759,Order Dependent,0.649238586,Order Dependent,0.942550182,3,Order Dependent,0.753
206,apache-hbase,testStargateServlet,Order Dependent,0.927479088,Order Dependent,0.663091898,Order Dependent,0.804909766,Order Dependent,0.9353953,4,Order Dependent,0.833
207,apache-hbase,testGetTableDescriptor,Order Dependent,0.944525301,Order Dependent,0.518620551,Order Dependent,0.570425928,Order Dependent,0.945297837,4,Order Dependent,0.745
208,apache-hbase,testGet,Unordered Collections,0.599092245,Order Dependent,0.833632767,Unordered Collections,0.763065994,Unordered Collections,0.94354111,4,Unordered Collections,0.785
209,apache-hbase,testPut,Async Wait,0.436981142,Order Dependent,0.968196094,Unordered Collections,0.500576496,Unordered Collections,0.94340086,4,Unordered Collections,0.712
210,apache-hbase,testDelete,Async Wait,0.513891995,Order Dependent,0.953281879,Unordered Collections,0.700105369,Unordered Collections,0.941255808,4,Unordered Collections,0.777
211,apache-hbase,testScanner,Unordered Collections,0.643814862,Order Dependent,0.889680386,Order Dependent,0.405951589,Unordered Collections,0.938217044,4,Unordered Collections,0.719
212,apache-hbase,testTableListText,Order Dependent,0.796290159,Order Dependent,0.948399842,Order Dependent,0.812340736,Order Dependent,0.948441744,4,Order Dependent,0.876
213,apache-hbase,testTableListJSON,Order Dependent,0.846249819,Order Dependent,0.952108026,Order Dependent,0.836271882,Order Dependent,0.947746754,4,Order Dependent,0.896
214,apache-hbase,testTableListXML,Order Dependent,0.604708791,Order Dependent,0.925966799,Order Dependent,0.80212301,Order Dependent,0.948573589,4,Order Dependent,0.82
215,apache-hbase,testTableListPB,Order Dependent,0.904255986,Order Dependent,0.968459368,Order Dependent,0.884593487,Order Dependent,0.94703275,4,Order Dependent,0.926
216,apache-hbase,testNoFilter,Unordered Collections,0.466429353,Order Dependent,0.874508679,Async Wait,0.4552055,Order Dependent,0.933257759,4,Order Dependent,0.682
217,apache-hbase,testPrefixFilter,Unordered Collections,0.583380401,Order Dependent,0.918103635,Order Dependent,0.855715632,Order Dependent,0.917343259,4,Order Dependent,0.819
218,apache-hbase,testPageFilter,Unordered Collections,0.801529646,Unordered Collections,0.93048811,Unordered Collections,0.784322321,Unordered Collections,0.936756253,4,Unordered Collections,0.863
219,apache-hbase,testInclusiveStopFilter,Async Wait,0.646614254,Order Dependent,0.935940087,Async Wait,0.304035038,Unordered Collections,0.688531578,4,Async Wait,0.644
220,apache-hbase,testQualifierFilter,Unordered Collections,0.464156359,Order Dependent,0.955379248,Async Wait,0.393578202,Unordered Collections,0.823879838,4,Unordered Collections,0.659
221,apache-hbase,testRowFilter,Async Wait,0.596746981,Order Dependent,0.96226424,Async Wait,0.394024312,Unordered Collections,0.727303386,4,Async Wait,0.67
222,apache-hbase,testValueFilter,Async Wait,0.713662088,Order Dependent,0.958259583,Async Wait,0.335917205,Unordered Collections,0.880605102,4,Async Wait,0.722
223,apache-hbase,testSkipFilter,Unordered Collections,0.607963383,Order Dependent,0.530035079,Order Dependent,0.452094436,Unordered Collections,0.942149699,4,Unordered Collections,0.633
224,apache-hbase,testFilterList,Unordered Collections,0.842961669,Order Dependent,0.681964278,Order Dependent,0.690634489,Unordered Collections,0.916218698,4,Unordered Collections,0.783
225,apache-hbase,testFirstKeyOnlyFilter,Unordered Collections,0.687379181,Unordered Collections,0.839319468,Order Dependent,0.641017079,Unordered Collections,0.811383843,4,Unordered Collections,0.745
226,apache-hbase,testTokenBucketConfig,Order Dependent,0.638835251,Unordered Collections,0.668818772,Not Flaky,0.498177767,Order Dependent,0.938674688,3,Order Dependent,0.686
227,apache-hbase,testTokenBucket,Async Wait,0.909028411,Async Wait,0.965098023,Async Wait,0.749734581,Async Wait,0.933690727,4,Async Wait,0.889
228,apache-hbase,testGetPlainUser,Unordered Collections,0.449257314,Order Dependent,0.955865324,Order Dependent,0.698331416,Order Dependent,0.947587252,4,Order Dependent,0.763
229,apache-hbase,testGetAdminUser,Unordered Collections,0.305583537,Order Dependent,0.96209079,Order Dependent,0.699173927,Order Dependent,0.945831597,4,Order Dependent,0.728
